Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2010-11-20,West Brom,Stoke,0,3,A
2011/2012,2011-08-28,West Brom,Stoke,0,1,A
2012/2013,2012-12-01,West Brom,Stoke,0,1,A
2013/2014,2014-05-11,West Brom,Stoke,1,2,A
2014/2015,2015-03-14,West Brom,Stoke,1,0,H
2015/2016,2016-01-02,West Brom,Stoke,2,1,H
