Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2011-09-26,Norwich,Sunderland,2,1,H
2012/2013,2012-12-02,Norwich,Sunderland,2,1,H
2013/2014,2014-03-22,Norwich,Sunderland,2,0,H
