Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2012/2013,2013-02-09,Southampton,Man City,3,1,H
2013/2014,2013-12-07,Southampton,Man City,1,1,D
2014/2015,2014-11-30,Southampton,Man City,0,3,A
