Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2012/2013,2013-05-19,Southampton,Stoke,1,1,D
2013/2014,2014-02-08,Southampton,Stoke,2,2,D
2014/2015,2014-10-25,Southampton,Stoke,1,0,H
2015/2016,2015-11-21,Southampton,Stoke,0,1,A
