Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2011-12-03,Man City,Norwich,5,1,H
2012/2013,2013-05-19,Man City,Norwich,2,3,A
2013/2014,2013-11-02,Man City,Norwich,7,0,H
2015/2016,2015-10-31,Man City,Norwich,2,1,H
