Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2010-10-31,Newcastle,Sunderland,5,1,H
2011/2012,2012-03-04,Newcastle,Sunderland,1,1,D
2012/2013,2013-04-14,Newcastle,Sunderland,0,3,A
2013/2014,2014-02-01,Newcastle,Sunderland,0,3,A
2014/2015,2014-12-21,Newcastle,Sunderland,0,1,A
2015/2016,2016-03-20,Newcastle,Sunderland,1,1,D
