Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2012-03-11,Swansea,Man City,1,0,H
2012/2013,2013-05-04,Swansea,Man City,0,0,D
2013/2014,2014-01-01,Swansea,Man City,2,3,A
2014/2015,2015-05-17,Swansea,Man City,2,4,A
