Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2012/2013,2012-12-01,Liverpool,Southampton,1,0,H
2013/2014,2013-09-21,Liverpool,Southampton,0,1,A
2014/2015,2014-08-17,Liverpool,Southampton,2,1,H
2015/2016,2015-10-25,Liverpool,Southampton,1,1,D
