Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2012-01-14,West Brom,Norwich,1,2,A
2012/2013,2012-12-22,West Brom,Norwich,2,1,H
2013/2014,2013-12-07,West Brom,Norwich,0,2,A
2015/2016,2016-03-19,West Brom,Norwich,0,1,A
