Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2011-01-02,Chelsea,Aston Villa,3,3,D
2011/2012,2011-12-31,Chelsea,Aston Villa,1,3,A
2012/2013,2012-12-23,Chelsea,Aston Villa,8,0,H
2013/2014,2013-08-21,Chelsea,Aston Villa,2,1,H
2014/2015,2014-09-27,Chelsea,Aston Villa,3,0,H
2015/2016,2015-10-17,Chelsea,Aston Villa,2,0,H
