Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2011-08-15,Man City,Swansea,4,0,H
2012/2013,2012-10-27,Man City,Swansea,1,0,H
2013/2014,2013-12-01,Man City,Swansea,3,0,H
2014/2015,2014-11-22,Man City,Swansea,2,1,H
2015/2016,2015-12-12,Man City,Swansea,2,1,H
