Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2011-05-22,Newcastle,West Brom,3,3,D
2011/2012,2011-12-21,Newcastle,West Brom,2,3,A
2012/2013,2012-10-28,Newcastle,West Brom,2,1,H
2013/2014,2013-11-30,Newcastle,West Brom,2,1,H
2014/2015,2015-05-09,Newcastle,West Brom,1,1,D
2015/2016,2016-02-06,Newcastle,West Brom,1,0,H
