Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2011-04-03,Man City,Sunderland,5,0,H
2011/2012,2012-03-31,Man City,Sunderland,3,3,D
2012/2013,2012-10-06,Man City,Sunderland,3,0,H
2013/2014,2014-04-16,Man City,Sunderland,2,2,D
2014/2015,2015-01-01,Man City,Sunderland,3,2,H
2015/2016,2015-12-26,Man City,Sunderland,4,1,H
