Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2012-01-21,Norwich,Chelsea,0,0,D
2012/2013,2012-12-26,Norwich,Chelsea,0,1,A
2013/2014,2013-10-06,Norwich,Chelsea,1,3,A
2015/2016,2016-03-01,Norwich,Chelsea,1,2,A
