Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2011-12-17,Newcastle,Swansea,0,0,D
2012/2013,2012-11-17,Newcastle,Swansea,1,2,A
2013/2014,2014-04-19,Newcastle,Swansea,1,2,A
2014/2015,2015-04-25,Newcastle,Swansea,2,3,A
