Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2012/2013,2012-11-25,Southampton,Newcastle,2,0,H
2013/2014,2014-03-29,Southampton,Newcastle,4,0,H
2014/2015,2014-09-13,Southampton,Newcastle,4,0,H
2015/2016,2016-04-09,Southampton,Newcastle,3,1,H
