Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2011-12-17,Everton,Norwich,1,1,D
2012/2013,2012-11-24,Everton,Norwich,1,1,D
2013/2014,2014-01-11,Everton,Norwich,2,0,H
