Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2011-03-01,Chelsea,Man United,2,1,H
2011/2012,2012-02-05,Chelsea,Man United,3,3,D
2012/2013,2012-10-28,Chelsea,Man United,2,3,A
2013/2014,2014-01-19,Chelsea,Man United,3,1,H
2014/2015,2015-04-18,Chelsea,Man United,1,0,H
2015/2016,2016-02-07,Chelsea,Man United,1,1,D
