Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2013/2014,2013-12-14,Chelsea,Crystal Palace,2,1,H
2014/2015,2015-05-03,Chelsea,Crystal Palace,1,0,H
2015/2016,2015-08-29,Chelsea,Crystal Palace,1,2,A
