Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2011-01-02,Wigan,Newcastle,0,1,A
2011/2012,2012-04-28,Wigan,Newcastle,4,0,H
2012/2013,2013-03-17,Wigan,Newcastle,2,1,H
