Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2011-12-21,QPR,Sunderland,2,3,A
2012/2013,2013-03-09,QPR,Sunderland,3,1,H
2014/2015,2014-08-30,QPR,Sunderland,1,0,H
