Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2010/2011,2010-12-11,Everton,Wigan,0,0,D
2011/2012,2011-09-17,Everton,Wigan,3,1,H
2012/2013,2012-12-26,Everton,Wigan,2,1,H
