Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2012-04-07,Norwich,Everton,2,2,D
2012/2013,2013-02-23,Norwich,Everton,2,1,H
2013/2014,2013-08-17,Norwich,Everton,2,2,D
2015/2016,2015-12-12,Norwich,Everton,1,1,D
