Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2012-04-29,Chelsea,QPR,6,1,H
2012/2013,2013-01-02,Chelsea,QPR,0,1,A
2014/2015,2014-11-01,Chelsea,QPR,2,1,H
