Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2012-05-06,QPR,Stoke,1,0,H
2012/2013,2013-04-20,QPR,Stoke,0,2,A
2014/2015,2014-09-20,QPR,Stoke,2,2,D
