Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2011/2012,2012-01-15,Newcastle,QPR,1,0,H
2012/2013,2012-12-22,Newcastle,QPR,1,0,H
2014/2015,2014-11-22,Newcastle,QPR,1,0,H
