Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2013/2014,2014-04-16,Everton,Crystal Palace,2,3,A
2014/2015,2014-09-21,Everton,Crystal Palace,2,3,A
2015/2016,2015-12-07,Everton,Crystal Palace,1,1,D
